year,type,discount_rate
1,general,1
2,general,0.966183575
3,general,0.9335107
4,general,0.901942706
5,general,0.871442228
6,general,0.841973167
7,general,0.813500644
8,general,0.785990961
9,general,0.759411556
10,general,0.733730972
11,general,0.708918814
12,general,0.684945714
13,general,0.661783298
14,general,0.639404153
15,general,0.61778179
16,general,0.596890619
17,general,0.576705912
18,general,0.557203779
19,general,0.53836114
20,general,0.52015569
21,general,0.502565884
22,general,0.485570903
23,general,0.469150631
24,general,0.453285634
25,general,0.437957134
26,general,0.423146989
27,general,0.408837671
28,general,0.395012242
29,general,0.38165434
30,general,0.368748155
31,general,0.356278411
32,general,0.34590137
33,general,0.335826572
34,general,0.326045216
35,general,0.316548753
36,general,0.307328887
37,general,0.29837756
38,general,0.289686951
39,general,0.281249467
40,general,0.273057735
41,general,0.265104597
42,general,0.257383104
43,general,0.249886509
44,general,0.242608261
45,general,0.235542001
46,general,0.228681554
47,general,0.222020927
48,general,0.215554298
49,general,0.209276017
50,general,0.203180599
51,general,0.197262718
52,general,0.191517202
53,general,0.185939031
54,general,0.180523331
55,general,0.17526537
56,general,0.170160553
57,general,0.16520442
58,general,0.160392641
59,general,0.155721011
60,general,0.151185448
61,general,0.146781988
62,general,0.142506784
63,general,0.138356101
64,general,0.134326312
65,general,0.130413895
66,general,0.126615432
67,general,0.122927604
68,general,0.119347188
69,general,0.115871057
70,general,0.112496172
71,general,0.109219584
72,general,0.106038431
73,general,0.102949933
74,general,0.099951391
75,general,0.097040186
76,general,0.094213773
77,general,0.091915876
78,general,0.089674025
79,general,0.087486854
80,general,0.085353028
81,general,0.083271247
82,general,0.081240241
83,general,0.079258772
84,general,0.077325631
85,general,0.07543964
86,general,0.073599649
87,general,0.071804535
88,general,0.070053205
89,general,0.06834459
90,general,0.066677649
91,general,0.065051365
92,general,0.063464746
93,general,0.061916826
94,general,0.060406659
95,general,0.058933326
96,general,0.057495928
97,general,0.056093588
98,general,0.054725452
99,general,0.053390685
100,general,0.052088473
101,general,0.050818022
102,general,0.049578558
103,general,0.048369325
104,general,0.047189586
105,general,0.04603862
106,general,0.044915727
107,general,0.043820221
108,general,0.042751435
109,general,0.041708718
110,general,0.040691432
111,general,0.039698958
112,general,0.038730691
113,general,0.03778604
114,general,0.036864429
115,general,0.035965296
116,general,0.035088094
117,general,0.034232287
118,general,0.033397353
119,general,0.032582783
120,general,0.031788081
121,general,0.031012762
122,general,0.030256354
123,general,0.029518394
124,general,0.028798433
125,general,0.028096032
1,health,1
2,health,0.985221675
3,health,0.970661749
4,health,0.956316994
5,health,0.94218423
6,health,0.928260325
7,health,0.914542193
8,health,0.901026791
9,health,0.887711124
10,health,0.87459224
11,health,0.861667232
12,health,0.848933233
13,health,0.836387422
14,health,0.824027017
15,health,0.811849277
16,health,0.799851505
17,health,0.788031039
18,health,0.77638526
19,health,0.764911587
20,health,0.753607474
21,health,0.742470418
22,health,0.731497949
23,health,0.720687634
24,health,0.710037078
25,health,0.69954392
26,health,0.689205832
27,health,0.679020524
28,health,0.668985738
29,health,0.659099249
30,health,0.649358866
31,health,0.63976243
32,health,0.631614602
33,health,0.623570542
34,health,0.615628928
35,health,0.607788457
36,health,0.60004784
37,health,0.592405805
38,health,0.584861097
39,health,0.577412476
40,health,0.570058719
41,health,0.562798617
42,health,0.555630977
43,health,0.548554622
44,health,0.54156839
45,health,0.534671132
46,health,0.527861716
47,health,0.521139023
48,health,0.514501948
49,health,0.507949401
50,health,0.501480305
51,health,0.495093597
52,health,0.488788229
53,health,0.482563164
54,health,0.47641738
55,health,0.470349867
56,health,0.464359628
57,health,0.458445678
58,health,0.452607047
59,health,0.446842776
60,health,0.441151916
61,health,0.435533533
62,health,0.429986705
63,health,0.424510519
64,health,0.419104077
65,health,0.413766489
66,health,0.408496879
67,health,0.403294382
68,health,0.398158142
69,health,0.393087315
70,health,0.388081069
71,health,0.383138582
72,health,0.37825904
73,health,0.373441643
74,health,0.368685599
75,health,0.363990126
76,health,0.359354454
77,health,0.355550068
78,health,0.351785958
79,health,0.348061698
80,health,0.344376865
81,health,0.340731043
82,health,0.337123818
83,health,0.333554782
84,health,0.33002353
85,health,0.326529663
86,health,0.323072784
87,health,0.319652503
88,health,0.31626843
89,health,0.312920184
90,health,0.309607385
91,health,0.306329658
92,health,0.303086631
93,health,0.299877937
94,health,0.296703213
95,health,0.293562098
96,health,0.290454238
97,health,0.28737928
98,health,0.284336875
99,health,0.28132668
100,health,0.278348352
101,health,0.275401556
102,health,0.272485956
103,health,0.269601223
104,health,0.26674703
105,health,0.263923053
106,health,0.261128973
107,health,0.258364473
108,health,0.25562924
109,health,0.252922964
110,health,0.250245339
111,health,0.247596061
112,health,0.244974831
113,health,0.24238135
114,health,0.239815326
115,health,0.237276468
116,health,0.234764488
117,health,0.232279102
118,health,0.229820027
119,health,0.227386987
120,health,0.224979704
121,health,0.222597906
122,health,0.220241324
123,health,0.21790969
124,health,0.215602741
125,health,0.213320215
