age,sex,mort
0,2,0.003519
1,2,0.000211
2,2,0.000113
3,2,0.000093
4,2,0.000061
5,2,0.000079
6,2,0.000069
7,2,0.000051
8,2,0.000053
9,2,0.000056
10,2,0.000065
11,2,0.000056
12,2,0.000054
13,2,0.000088
14,2,0.000094
15,2,0.000102
16,2,0.000129
17,2,0.000157
18,2,0.000205
19,2,0.000202
20,2,0.000177
21,2,0.000195
22,2,0.000232
23,2,0.000200
24,2,0.000215
25,2,0.000251
26,2,0.000253
27,2,0.000290
28,2,0.000299
29,2,0.000318
30,2,0.000374
31,2,0.000366
32,2,0.000437
33,2,0.000472
34,2,0.000549
35,2,0.000560
36,2,0.000625
37,2,0.000724
38,2,0.000757
39,2,0.000791
40,2,0.000849
41,2,0.000943
42,2,0.001058
43,2,0.001149
44,2,0.001300
45,2,0.001417
46,2,0.001532
47,2,0.001667
48,2,0.001894
49,2,0.001988
50,2,0.002155
51,2,0.002379
52,2,0.002506
53,2,0.002682
54,2,0.002836
55,2,0.003158
56,2,0.003517
57,2,0.003783
58,2,0.004210
59,2,0.004482
60,2,0.005043
61,2,0.005424
62,2,0.006235
63,2,0.006627
64,2,0.007091
65,2,0.007802
66,2,0.008460
67,2,0.009197
68,2,0.010337
69,2,0.010981
70,2,0.012445
71,2,0.013209
72,2,0.014992
73,2,0.016776
74,2,0.019080
75,2,0.020998
76,2,0.023674
77,2,0.027191
78,2,0.030486
79,2,0.034883
80,2,0.038718
81,2,0.043823
82,2,0.049164
83,2,0.056024
84,2,0.063838
85,2,0.072610
86,2,0.083158
87,2,0.094540
88,2,0.106614
89,2,0.120013
90,2,0.134717
91,2,0.151716
92,2,0.169583
93,2,0.188218
94,2,0.205915
95,2,0.228175
96,2,0.251732
97,2,0.277129
98,2,0.298496
99,2,0.319343
100,2,0.348823
0,1,0.004244
1,1,0.000231
2,1,0.000128
3,1,0.000099
4,1,0.000090
5,1,0.000077
6,1,0.000081
7,1,0.000068
8,1,0.000065
9,1,0.000062
10,1,0.000073
11,1,0.000074
12,1,0.000102
13,1,0.000116
14,1,0.000124
15,1,0.000169
16,1,0.000190
17,1,0.000284
18,1,0.000373
19,1,0.000415
20,1,0.000524
21,1,0.000473
22,1,0.000463
23,1,0.000478
24,1,0.000514
25,1,0.000540
26,1,0.000567
27,1,0.000585
28,1,0.000629
29,1,0.000657
30,1,0.000730
31,1,0.000778
32,1,0.000775
33,1,0.000888
34,1,0.000917
35,1,0.000990
36,1,0.001043
37,1,0.001257
38,1,0.001230
39,1,0.001359
40,1,0.001486
41,1,0.001576
42,1,0.001718
43,1,0.001878
44,1,0.002074
45,1,0.002307
46,1,0.002440
47,1,0.002638
48,1,0.002836
49,1,0.003145
50,1,0.003424
51,1,0.003691
52,1,0.003920
53,1,0.004277
54,1,0.004579
55,1,0.004888
56,1,0.005426
57,1,0.005882
58,1,0.006523
59,1,0.007035
60,1,0.007698
61,1,0.008354
62,1,0.009328
63,1,0.010187
64,1,0.010952
65,1,0.012212
66,1,0.013476
67,1,0.014450
68,1,0.016038
69,1,0.017609
70,1,0.018771
71,1,0.020325
72,1,0.022155
73,1,0.025341
74,1,0.027949
75,1,0.031470
76,1,0.035003
77,1,0.039289
78,1,0.044240
79,1,0.049105
80,1,0.055031
81,1,0.061031
82,1,0.067994
83,1,0.075946
84,1,0.085848
85,1,0.096293
86,1,0.109147
87,1,0.121649
88,1,0.136498
89,1,0.153243
90,1,0.162051
91,1,0.181591
92,1,0.198647
93,1,0.222409
94,1,0.244193
95,1,0.269641
96,1,0.292512
97,1,0.314221
98,1,0.335243
99,1,0.375447
100,1,0.397366
